variable;code;vintage
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-LPG-LPG;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-Gas-NG_Biogas;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-Geo-Geo;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-AdvElc-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-ConvElc-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-TotalCirculation-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-SC-AC-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Solids-Solids;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-LPG-LPG;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Gas-NG_Biogas;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Geo-Geo;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-Elc-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH-TotalSolar-Solar;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO-Solids-Solids;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO-LPG-LPG;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO-Gas-NG_Biogas;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO-Elc-Elec;
UEperSqm|Residential|Space heating|Coal;TES_per_sqm-kWh-Res-HH-Thermal-SH-Solids-Solids;
UEperSqm|Residential|Space heating|Liquids;TES_per_sqm-kWh-Res-HH-Thermal-SH-LPG-LPG;
UEperSqm|Residential|Space heating|Liquids;TES_per_sqm-kWh-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
UEperSqm|Residential|Space heating|Gases;TES_per_sqm-kWh-Res-HH-Thermal-SH-Gas-NG_Biogas;
UEperSqm|Residential|Space heating|Biomass;TES_per_sqm-kWh-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;TES_per_sqm-kWh-Res-HH-Thermal-SH-Geo-Geo;
UEperSqm|Residential|Space heating|Heat;TES_per_sqm-kWh-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
UEperSqm|Residential|Space heating|Electricity|Heat pump;TES_per_sqm-kWh-Res-HH-Thermal-SH-AdvElc-Elec;
UEperSqm|Residential|Space heating|Electricity|Resistive electric;TES_per_sqm-kWh-Res-HH-Thermal-SH-ConvElc-Elec;
;TES_per_sqm-kWh-Res-HH-Thermal-SH-TotalCirculation-Elec;
;TES_per_sqm-kWh-Res-HH-Thermal-SC-AC-Elec;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Solids-Solids;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-LPG-LPG;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Gas-NG_Biogas;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Geo-Geo;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-Elc-Elec;
;TES_per_sqm-kWh-Res-HH-Thermal-WH-TotalSolar-Solar;
;TES_per_sqm-kWh-Res-HH-Thermal-CO-Solids-Solids;
;TES_per_sqm-kWh-Res-HH-Thermal-CO-LPG-LPG;
;TES_per_sqm-kWh-Res-HH-Thermal-CO-Gas-NG_Biogas;
;TES_per_sqm-kWh-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;TES_per_sqm-kWh-Res-HH-Thermal-CO-Elc-Elec;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-SH-Solids-Solids;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-SH-LPG-LPG;
