variable;ITEM;ENDUSE;comment
;EI_VKM;P_CARS;
;EI_VKM_PC;P_CARS;
;EI_VUSE;P_CARS;
;CI_VKM;P_CARS ;
;ACT_PKM;P_CRAIL;
;E_ELEC;P_CRAIL;
;E_FINAL;P_CRAIL;
;ACT_PKM;P_HRAIL;
;ACT_PKM;P_MCYCL;
;ACT_VKM;P_MCYCL;
;ACT_VST;P_MCYCL;
;C_FINAL;P_MCYCL;
;C_GASOL;P_MCYCL;
;C_OTHER;P_MCYCL;
;CI_PC;P_MCYCL;
;CI_PKM;P_MCYCL;
;CI_VKM;P_MCYCL;
;E_ELEC;P_MCYCL;
;E_FINAL;P_MCYCL;
;E_GASOL;P_MCYCL;
;E_OTHER;P_MCYCL;
;EI_FUEL_INT;P_MCYCL;
;EI_LOAD_P;P_MCYCL;
;EI_PC;P_MCYCL;
;EI_PKM;P_MCYCL;
;EI_PKM_PC;P_MCYCL;
;EI_VKM;P_MCYCL;
;EI_VKM_PC;P_MCYCL;
;EI_VUSE;P_MCYCL;
;ACT_PKM;P_MLRAIL;
;E_ELEC;P_MLRAIL;
;E_FINAL;P_MLRAIL;
;ACT_VST;P_OCARS;
;ACT_PKM;P_RAIL;
;ACT_VKM;P_RAIL;
;ACT_VST;P_RAIL;
;C_DIESEL;P_RAIL;
;C_ELEC;P_RAIL;
;C_FINAL;P_RAIL;
;C_HFO;P_RAIL;
;CI_PC;P_RAIL;
;CI_PKM;P_RAIL;
;CI_VKM;P_RAIL;
;E_COAL;P_RAIL;
;E_DIESEL;P_RAIL;
;E_ELEC;P_RAIL;
;E_FINAL;P_RAIL;
;E_HFO;P_RAIL;
;E_OTHER;P_RAIL;
;EI_LOAD_P;P_RAIL;
;EI_PC;P_RAIL;
;EI_PKM;P_RAIL;
